logFC	AveExpr	t	P.Value	adj.P.Val	B	BC_Het_82_d25_1	BC_Het_82_d25_2	BC_Het_82_d25_3	BC_WT_d25_1	BC_WT_d25_2	BC_WT_d25_3
SMEK3P	2.40492607547883	5.65573865985635	6.79221297620207	5.82787077766969e-06	0.000922579262249383	4.21068261799399	4.10637095322654	4.38129238085524	4.87216353226901	7.30858987977589	6.90335326021652	6.36266195279488
PRKCDBP	-2.3835515142664	9.51339997762479	-6.78258674461351	5.9244946230765e-06	0.000930604918972086	4.19441636211578	10.6816116745584	10.5320783299978	10.9018371997178	7.70656304564958	8.43886932000408	8.81944029582111
lincRNA:chr14:92223102-92223962_R	-2.40958921681802	4.9155130220314	-6.7777648559803	5.97352350819352e-06	0.00093108851420404	4.18626330605968	6.17485203223566	5.57853090604897	6.60753995303662	4.05227529825795	3.35859574115227	3.72128420145696
LOC100131366	-2.19034737203338	6.93534556379131	-6.77302556023083	6.02212654537317e-06	0.000931498856403791	4.17824658172338	7.92035747669576	7.95544685067775	8.21575342205049	5.53724250816963	5.77903616068276	6.20423696447148
AKAP12	-2.11077356347305	8.64809752489547	-6.76332768557568	6.12287589814436e-06	0.000932897905388487	4.16183194782646	9.76175896600657	9.70821456494087	9.64047938894854	7.7566444049432	7.32424754884784	7.69724027568578
LINC00113	2.30368716994907	6.26803439315028	6.76329195611682	6.123250329007e-06	0.000932897905388487	4.16177144662122	5.08484138641646	4.90520952680712	5.35852151130366	7.84372967967212	6.92004302557343	7.49586122912889
HDX	-2.19890577896796	6.0455197223376	-6.73864363244971	6.38735411070207e-06	0.00096587280854594	4.11998950449076	7.33076380847652	7.04567063915699	7.05848338783125	5.2229973372185	5.08711687911008	4.52808628223229
LOC100130887	-2.24793011026512	8.33792359538749	-6.70078019633495	6.81651696816202e-06	0.00102085596794627	4.05563287028057	9.48545354734	9.52571457189002	9.37449783233013	7.24415881803287	7.67160973810146	6.72610706463047
ITGB6	2.05312786254187	6.48802548974317	6.69778576013638	6.85172045801177e-06	0.00102085596794627	4.05053424888431	5.3175791283916	5.54961845572818	5.51718709129691	7.53592618027463	7.56351124540255	7.44433083736512
ENC1	2.05115745635428	8.13455983327948	6.65896473444756	7.32572612197479e-06	0.00108351232415748	3.98431478907179	7.01564025979608	7.12106462265946	7.19023843285147	9.31468363467011	9.14941864854999	9.01631340114974
lincRNA:chr3:156503913-156504373_R	-2.18193214508	7.2600524412091	-6.63822259376984	7.59293037333142e-06	0.00111489527648416	3.94884308041741	8.07117918336396	8.81449912288794	8.16737723499539	6.08842613040246	6.10480220098452	6.31403077462032
MAGEA9	2.05433144532257	5.91648150449016	6.6199699400581	7.83649672589279e-06	0.00114238081407745	3.91757655888062	5.12894693686711	4.78980725250361	4.74919315611592	6.89893461763702	7.00031061596723	6.9316964478501
GRIN3A	-2.37109711450617	10.8044845739569	-6.59839569507936	8.13496065924875e-06	0.00117741934170255	3.88055725022578	12.1870222988043	11.4237851823686	12.3592919124571	9.32887564027725	9.43627895076044	10.0916534590738
PAX6	-2.17451695227308	8.50408879028656	-6.57397433690228	8.48720546154333e-06	0.00121968967565427	3.83857029151504	9.53976353735162	9.59248986538829	9.64178839652941	7.70949534116891	6.91273959956052	7.62825600172064
LOC100506178	2.18863125157053	7.9805606437934	6.54485148199984	8.92821253267129e-06	0.00126781656936472	3.78838598901801	7.08296497334375	6.60619554795622	6.96957453272442	9.44181663570544	8.648134594713	9.13467757831755
A_33_P3323914	2.00162774527932	11.2443293718846	6.54362951468939	8.94723236535336e-06	0.00126781656936472	3.78627758864466	10.2350535163912	10.2593763959286	10.2361165854151	12.1107602696729	12.2743367760312	12.3503326878688
FRG1B	2.10064010288991	11.1025993140996	6.53577419518141	9.07051543022458e-06	0.00127636009835167	3.7727186853909	10.1108513112604	9.8092238853321	10.2367625913716	11.9526797868961	12.4702970540621	12.0357812556756
LOC644366	-2.421762810909	7.41653199793328	-6.52987121339944	9.16432582232713e-06	0.00127825904654764	3.76252372724739	8.16486594456509	9.21134702837577	8.50602723722249	6.60469709563976	5.67509683106068	6.33715785073591
FGF18	-2.06796137836988	7.00273420642812	-6.52381660732592	9.26159990428152e-06	0.00127825904654764	3.75206160243178	8.37069869598675	7.94484623553059	7.79459975532183	6.03367929285629	5.96923196307615	5.90334929579711
MLIP	-2.11290310468134	5.59135937539157	-6.52309527752444	9.2732606150374e-06	0.00127825904654764	3.75081481479259	6.72653285956449	6.7002027476764	6.51669717595581	4.63485709549347	4.83608973672203	4.13377663693721
PPP1R14C	-2.00281306672286	6.74571807670321	-6.4909116989753	9.80945807160283e-06	0.00133547822298474	3.69510940068413	7.68797466622696	7.74213418149281	7.81126498247415	5.66979287990244	5.94211375205092	5.62102799807197
MAGEA2B	2.29884520596893	9.62078005131538	6.49028720012307	9.82017742805734e-06	0.00133547822298474	3.69402697912156	8.31990963999428	8.53739825091739	8.55676445408108	11.461545711396	10.4557504351266	10.3933118163769
TSPAN1	-2.16233277369656	11.2238393502825	-6.47581698026841	1.00720129973174e-05	0.00136059466243095	3.66893029212214	12.507470102351	11.8240047796122	12.583542329429	10.2768174280878	9.90246458761175	10.248736874603
C10orf108	-2.15647072106819	11.2979633711328	-6.46938478306073	1.01861149810873e-05	0.00136689568120379	3.65776466522516	12.3466277177123	12.4896376332464	12.292330844042	10.4393261836131	9.70061135789448	10.5192464902885
LRAT	2.24788801788442	8.51053796125875	6.4567451301975	1.04142843398028e-05	0.00138832002353568	3.63580591995504	7.69251228163969	6.73566085386267	7.73160872144726	9.61342458813515	9.74521534945783	9.54480597300989
OR8K5	-2.58132034014965	5.13453914009494	-6.43198626228897	1.08768382785253e-05	0.00141834805966271	3.59272492716109	5.6733310130716	7.30525455974157	6.29701235769611	3.8248817350225	3.5338913764783	4.17286379855954
SLC24A3	-2.64987159660822	9.17234637364169	-6.4309150076585	1.08973298419346e-05	0.00141834805966271	3.59085889869822	10.2482673731548	10.8920622284052	10.3515169142774	8.41204380117407	6.84348220051566	8.28670572432302
GAST	-2.28580131833359	11.3929771076453	-6.42870438655028	1.09397434247743e-05	0.00141834805966271	3.58700766734093	12.1534731602428	13.177426634727	12.2767335054664	10.0442599268889	10.1445221171804	10.5614473013663
ENST00000342995	2.70660142281925	6.61008536745076	6.4246526471569	1.10179294703103e-05	0.00141834805966271	3.57994708092986	5.29727230273833	5.64876507716599	4.82431658821909	8.64123205779318	6.95301022329234	8.29591595549563
TMEM176A	-2.4469122182519	11.3515977123683	-6.41813259372254	1.11449740295122e-05	0.00141834805966271	3.56858016274755	12.5476069842074	12.8845573922591	12.2929970880164	10.4479972338048	9.30674500293502	10.6296825729873
C17orf107	-2.50162495993832	9.08829789805014	-6.41789826504418	1.11495683556965e-05	0.00141834805966271	3.56817152372864	10.0955157853304	11.1327899545084	9.78902539421909	8.24058210534957	7.3926690759465	7.87920507294688
EFCAB6	-1.97010887342948	5.99568228263628	-6.41736389634553	1.11600527673517e-05	0.00141834805966271	3.56723962359453	7.05617488607612	7.01842679436091	6.86760847761602	5.13764401467736	4.91856061650219	4.97567890658507
ANKRD65	-2.04324119718093	8.57413658824155	-6.41535748635667	1.11995109088503e-05	0.00141834805966271	3.56374021844134	9.65901771831767	9.38056903725034	9.74768480492802	7.78592454571398	7.27197042566684	7.59965299757242
HOXA7	2.7107217292315	10.5825510724978	6.40633949818516	1.13786666867955e-05	0.00143208647872383	3.54800457481273	9.78317623659348	8.25273098959801	9.64566339745459	11.4966564669782	12.5069166582723	11.8101626860901
IFT27	-2.18734872136956	9.30303208341804	-6.38699012866343	1.17732463653792e-05	0.00147260056235605	3.51420147765203	10.5846109662731	10.3806551582749	10.2248532077605	8.27799665365586	7.67703291531483	8.67304359922909
ADM	2.07704943087823	13.0641700904554	6.36916984155822	1.21492912408442e-05	0.00149513594848204	3.48302136463951	11.7477298458708	12.4278883147208	11.9013179644572	14.2932219125229	13.9325765430656	14.082285962095
FAP	-1.95895512207815	4.68020827042369	-6.36883267487609	1.21565258662019e-05	0.00149513594848204	3.48243097865865	5.7892608860112	5.50302424830441	5.68677236007269	3.78268918138393	3.68970077402382	3.62980217274612
ARHGAP6	-2.16338326351206	6.49426910767385	-6.36798319041314	1.21747733060029e-05	0.00149513594848204	3.48094343996147	7.50925339194905	7.5441417878705	7.67448703847009	5.96015901498356	4.96437472867716	5.31319868409273
NIPA1	-2.41832981059944	9.82384906534792	-6.33523187541643	1.29005518282168e-05	0.00157472217888648	3.42351219832124	10.9088234427187	11.0729820933052	11.117236375919	9.18013470336559	7.73648138073309	8.92743639604592
lincRNA:chr3:156478565-156479234_R	-1.98702878276445	5.4350661388371	-6.31300343156864	1.34187631434601e-05	0.00162817004536486	3.38444443073669	6.32507844048402	6.72147604113451	6.23918710903943	4.33991182061652	4.55244403235156	4.43229938939654
TMEM121	-1.98971141601415	10.9121200260453	-6.28828708379166	1.40205734220086e-05	0.00169106475744143	3.34091965886811	11.7421668819571	12.1327065224506	11.8460537977495	9.75538070407256	9.82826524671904	10.1681470033232
CRTAM	2.61606812206987	6.99310874650327	6.25436277333918	1.48928151280204e-05	0.00178563972153301	3.28103545474025	5.5504958473294	6.00343497009152	5.50129323898407	8.81131983903493	7.22985627712816	8.86225230645152
PRDM12	-2.30661684133397	6.63619463423005	-6.24824034224735	1.50561704407091e-05	0.00179460695082405	3.27021016879545	7.71474147599286	8.02063707262903	7.63313061606921	6.20283868003902	4.86023888352958	5.38558107712059
ENST00000512874	-2.24452210823055	6.55919922706861	-6.22976666545342	1.55605022355893e-05	0.00184387401637278	3.23751327797481	7.53555914563801	7.98050106877071	7.52832062914293	6.03442304471105	4.83608973672203	5.44030173742692
SECTM1	-2.10175086090235	6.17467306790877	-6.17038451109575	1.73044303089991e-05	0.00203047391663106	3.13207717565175	7.24589957941174	7.24245848765296	7.18828742801511	5.47228087698624	5.37102575315425	4.52808628223229
LOC284276	-2.0473306832135	6.76103887385304	-6.16937967378566	1.73356357685028e-05	0.00203047391663106	3.1302886503938	7.73586951753027	7.99641260086278	7.62183052798632	5.76275047562179	6.13159506679654	5.31777505432057
SMPX	2.32631123721148	5.22920973025002	6.16308678334191	1.75324021784768e-05	0.00204171876633607	3.11908452499653	3.8019859769229	3.67161968302198	4.72455667498798	6.30575021309732	6.92004302557343	5.95130280789654
PRSS50	-2.27350558226464	8.55499955424472	-6.13379506268886	1.84794249102893e-05	0.00213970621118395	3.06685716891163	9.65752719631313	9.85789891550038	9.55983092431761	7.96480946178769	6.63034343957511	7.65958738797442
LOC286063	1.96198728110154	6.78567326711255	6.10525733022547	1.94534525916379e-05	0.00223968926059294	3.01585536494621	5.93212760754204	5.52106389579911	5.96084737634419	7.70656304564958	8.04564202742043	7.54779564991997
MAGI2-AS3	-2.2888741022175	8.03767350754602	-6.09884011093732	1.96797599594757e-05	0.00225294336756416	3.00437057258907	9.30171694206141	9.02800577829655	9.21660895560637	7.48054762489444	6.07715207556756	7.12200966884983
C11orf93	-2.00266487046394	6.91690089090782	-6.09116239854761	1.99541296837551e-05	0.00227151983023556	2.99062212518405	7.84883740727673	7.92878212538849	7.97708044575414	6.39318858012407	5.60870095960517	5.74481582729829
PEMT	-1.95776858488648	12.774426715942	-6.05928504851943	2.11366411364043e-05	0.00236380614674704	2.93344904673976	14.0075406686547	13.4046629092769	13.8477294472242	12.0001607327959	11.5984565542106	11.7880099834899
GPX3	-2.14926030446138	10.8572418080254	-6.05891696156599	2.11507143127412e-05	0.00236380614674704	2.93278802020236	12.0567083578036	11.8259638242438	11.912943698721	10.2036091424621	9.08788039834215	10.05634542658
AGBL2	-1.9692941026508	5.44154635763863	-6.0581974551983	2.11782516139563e-05	0.00236380614674704	2.93149584339772	6.79512206052148	6.28061948633159	6.20283868003902	4.70888093412979	4.29730970609656	4.36450727871336
lincRNA:chr3:165221024-165290561_R	2.21677798153087	8.51579942504442	6.05681041783173	2.12314424669576e-05	0.00236380614674704	2.92900462430097	7.67337766284869	7.89363127967745	6.65522236031081	9.65217414484915	9.42035665595776	9.80003444662266
CCDC164	-1.96474669380207	7.03807539656938	-6.01656856899701	2.28368358345717e-05	0.00251527518067278	2.85660758438203	7.94010837006778	8.42563129882203	7.69560656152142	6.18435945535395	5.87785091249111	6.10489578116
MAGEB16	2.45232511430262	5.14892202364627	6.01648777492321	2.28401832524202e-05	0.00251527518067278	2.85646199926151	3.84742127268093	4.15345131773493	3.76740580906903	6.99930413741827	5.35285904909404	6.77309055588043
lincRNA:chr7:22610674-22610775_F	2.18013229592827	8.89767952492284	6.00933433187548	2.31385963716562e-05	0.0025343642069128	2.84356831785044	8.13215941497818	7.16109470454317	8.12958601135474	10.2304342364119	9.56818664432101	10.164616137928
PTGER3	-2.01306545073292	5.73778583561047	-6.00321357104571	2.33971537515684e-05	0.00254768368275204	2.83253019641423	6.95482725061671	6.30024356727041	6.97788486504367	4.97830161059157	4.41951489458145	4.79594282555903
ELMO1	1.86841316856805	9.99328852913243	6.00052527448848	2.35116640514549e-05	0.00254768368275204	2.82768046077634	9.17356051664282	8.93411828277358	9.06956703512881	10.939869913036	11.1188886436437	10.7237267835697
GPR12	2.06798596939479	5.82514031595411	5.99707150051758	2.36596378392663e-05	0.0025500810720056	2.82144827906951	5.31614797704063	4.38129238085524	4.67600163587428	7.15581995599366	6.62101662440339	6.80056332155747
LRRC34	-1.84035327535842	6.66811654030953	-5.9492781866348	2.5809863578947e-05	0.00276711780793758	2.73503320816381	7.662546752109	7.38710084530799	7.71523193654922	5.84931280798684	5.67509683106068	5.71941006884343
PDZD2	-2.03115952092072	8.68972625251446	-5.93510187237658	2.64860573525956e-05	0.00282466831650339	2.70933868554323	9.75648468344085	9.91401392894065	9.44541942654295	8.06910068751505	7.14747498748634	7.80586380116092
ENST00000508021	2.28387968406396	7.04921391601104	5.92351613803494	2.70523702215341e-05	0.00286995904606778	2.68831845450529	5.98433441140415	6.36180076727164	5.37568704326139	7.97628726459606	8.89660505718767	7.70056895234533
INHBA	-2.17240369772719	9.14821622710947	-5.91236508905167	2.76093467191085e-05	0.00291379266963174	2.66806895950961	10.2924633435807	10.0235865305103	10.3872043538282	8.33434886551165	7.29828575767289	8.55340851155309
HOXA9	1.91073439112905	9.86717794324841	5.87062251897186	2.9802555796298e-05	0.0031289595238362	2.59211177453915	9.07481207570461	8.67665040492987	8.98396976241717	10.9476174239617	10.443613773263	11.076404219214
lincRNA:chr1:201482952-201545677_F	-2.11752146921849	6.06067628698578	-5.86711294264985	2.99950327197793e-05	0.00313293478350973	2.58571437072475	6.9224343501786	7.1133781828391	7.32249853176739	4.45948582878553	4.86023888352958	5.68602194481451
RSPO3	-1.87221125808427	7.08119660088717	-5.84745902821741	3.10970856937704e-05	0.00323138588416857	2.5498564285125	8.051535285746	7.73854740753975	8.26182399650216	6.16930427576353	6.34934717994994	5.91662145982164
CRH	1.97643583141993	14.8481272510773	5.83714256310862	3.16923396286874e-05	0.00327643815253109	2.53101269067689	13.8183185558107	13.9820204554549	13.7793889948363	16.2326316618314	15.2848750010989	15.9915288374315
LOC645722	-1.9769447906502	11.5558996395066	-5.83015783784579	3.2102073603323e-05	0.0033019508498687	2.51824614755807	12.480745325554	12.6520288396511	12.5003419392899	10.9371411837436	9.99959849972644	10.7655420490744
FOLH1B	-1.84851015101543	4.76216003847133	-5.82212824683912	3.25799174082949e-05	0.00333063802320898	2.5035613894914	5.85221445410295	5.76583943760333	5.44119145023084	4.01292633638268	3.58521577028525	3.91557278222291
C6orf192	-1.88738963512293	7.56752596159672	-5.81996829357515	3.27097155711685e-05	0.00333063802320898	2.49960966401753	8.58350317770088	8.20400231679947	8.7461568429742	6.88244594112325	6.35620414247102	6.6328433485115
APBB1IP	1.85861025376864	6.27880184171493	5.80391812133221	3.36912254724887e-05	0.00341342650874519	2.47022479847651	5.35247771253478	5.62023469165004	5.075777740307	7.41783239205382	7.20278102909577	7.00370748464814
lincRNA:chrX:55936225-56241400_F	2.04193194021879	7.31301410734644	5.79816155792455	3.4050675101297e-05	0.00343268074416707	2.45967685439265	6.05713824831381	6.66598134456901	6.15302481882832	8.45501843871091	7.78118913930435	8.76573265435226
SOX6	-2.09071157643765	8.25405724090089	-5.78774304794662	3.47114008377037e-05	0.0034819659167049	2.44057493631931	9.52244875353043	8.8218471023856	9.55394323144311	7.12273812917612	7.75858278650493	6.74478344236516
FLJ45974	2.21662293289883	4.57234862175791	5.7699256457611	3.58724243992439e-05	0.00358070411626542	2.40787247394397	3.66351009318652	4.06848533564397	2.660116037095	5.52274598383553	5.4711197744584	6.04811450632805
SCHIP1	-3.1668637301796	8.73438120823494	-5.76644974127756	3.61035904471931e-05	0.00358611300603664	2.40148758254577	10.4404807044291	9.88003561954915	10.632922895996	6.7860463450988	8.78982724574689	5.87697443858974
RNF182	-2.02091530106196	7.38246650333961	-5.75573531054204	3.6825951097352e-05	0.00364002071749094	2.38179569857132	8.50020476941512	7.81455882952909	8.86400886266754	6.67281512386287	6.20615739538916	6.23705403917386
FBXO15	-2.0008005617843	7.29820738962543	-5.75249170308802	3.70475835993134e-05	0.00364415139064509	2.3758311878015	8.10113560040433	8.7800149598155	8.01467245133291	6.69318660249428	6.28177886467589	5.91845585902967
MYO16	-2.21257646670579	7.92668151881227	-5.74245783770888	3.77420086440878e-05	0.00367388646408765	2.35737118835939	9.01863531958278	9.0243169026771	9.0559570342356	7.30737755603179	5.89920926339829	7.25459303694804
MAGI2-IT1	-2.17742938851504	6.36875119463923	-5.74199091656287	3.77746509872085e-05	0.00367388646408765	2.35651182212091	7.58147546085384	7.80517306628441	6.98574913955199	5.73497252045379	4.55244403235156	5.55269294833976
A_33_P3213518	-2.58342074071087	7.9109024448669	-5.74029000101488	3.78938099488881e-05	0.00367388646408765	2.35338104005625	8.98843330158412	9.91034943622369	8.70905570785919	7.10170249414945	5.55269294833976	7.20318078104519
SLC32A1	-2.01984645676116	7.05685818815728	-5.7235463722548	3.90878634193831e-05	0.00377160655460457	2.32254064233074	7.79925773312741	8.73688770837271	7.66419880811347	5.93012205703274	5.98382565611641	6.22685716618097
LOC100506305	1.87640313682316	12.2178884558973	5.70725029107822	4.02875851680928e-05	0.00386894473109509	2.29248748946813	11.1859184480179	11.271828193623	11.3813140208162	12.7289712019694	13.5525523374703	13.1867465334869
GABRB2	1.85413057087189	6.78166695178161	5.68796148025668	4.17572414151375e-05	0.00399116501318364	2.25686798732362	5.9454527212489	5.62188154285787	5.99647073493022	8.09771410848056	7.44847913727009	7.58000346590202
CLRN3	1.86542808958154	10.4036512853859	5.66132471220581	4.38789097070061e-05	0.00417426454175148	2.20759565147018	9.45474151870039	9.40800908557657	9.55006111750833	11.6090059073249	10.8474634938237	11.5526265893813
HGC6.3	1.83468624651412	6.35244586365235	5.65079679909159	4.47480794765385e-05	0.00423705763753785	2.18809453897506	5.6733310130716	5.20913544946266	5.4228417586516	7.37034388604114	7.51605785689382	6.92296521779327
CYP4F30P	1.72649521196372	9.12374809954856	5.64505435907555	4.52296858589359e-05	0.00426274011423078	2.17745131063071	8.28470872480728	8.35643777523107	8.14035498066177	9.97559003486028	9.9413390378335	10.0440580438975
LOC285141	-1.75073651473785	9.48857661223407	-5.63592324757103	4.60066085436347e-05	0.00431588846722069	2.16051816695007	10.2542914217124	10.4472870126993	10.3902561743972	8.58878445705756	8.82060884878794	8.43023175874995
LOC642366	-2.27325172590146	9.90818074236194	-5.5914500224245	4.99936693804602e-05	0.00466830286938371	2.07788339402092	10.8492730497004	11.4138596914145	10.8712870748231	9.57020449275347	7.87449218552552	8.86996795995463
VASH2	1.70196349971782	10.3042519473851	5.56989504070676	5.20535632128439e-05	0.00478564599272559	2.03773647524675	9.43778004742687	9.38547614594775	9.53655439920386	11.0587026171749	11.2105905350028	11.1964079395542
C4orf47	-1.75588433908773	6.84374826597959	-5.56789317831964	5.22492891969213e-05	0.00478564599272559	2.03400476612094	7.662546752109	7.96073048858835	7.54179406587302	6.02535452841608	6.11691700956372	5.75514675132738
NEB	1.74679866779269	6.87114355929499	5.56788668468251	5.2249925333832e-05	0.00478564599272559	2.03399266033529	6.16671451212171	5.98980915723269	5.83670900684152	7.97053011284617	7.6998622445362	7.56323632219162
ZNF135	-1.81286662980057	8.5547090078854	-5.56655380842504	5.23806683481519e-05	0.00478564599272559	2.03150772135547	9.35458563000639	9.70032494249886	9.32851639585178	7.97886808428786	7.66127465123038	7.30468434343711
KL	-2.07854861822275	7.35112000095683	-5.56603957958662	5.24312002361487e-05	0.00478564599272559	2.0305489585235	8.19174877676753	8.62250610603861	8.35692804739849	7.11127241462209	5.81778232252143	6.00648233839285
C8orf4	2.06799514492594	7.75646040233573	5.5634698126259	5.26844835655938e-05	0.00478720040578308	2.02575718066067	6.60654248687402	6.83147552518339	6.72937047756088	8.79460883961414	9.50124667595392	8.07551840882803
MAGEA4	2.1506116066592	6.47870259528394	5.5509445708658	5.39373093401675e-05	0.00487915937124917	2.00238901969981	5.30159744981217	4.81652927959483	6.09206364645604	8.12007378001679	7.23410350030923	7.30784791551462
LDHD	-1.8236377561437	7.82213577903658	-5.54313874717592	5.47336807986901e-05	0.00492919366232826	1.98781519151338	8.70859393300957	9.04915782779577	8.44411221051995	7.17234596943532	6.58443734978001	6.97416738367886
CRISPLD1	1.96981811263691	8.87317230055273	5.54028665676354	5.5027693768416e-05	0.00493374406561687	1.98248817846965	8.21815612227952	7.22159462212997	8.22503898829333	10.0676874837755	9.60741431840085	9.89914226843717
TMEM130	-1.85720181548394	11.9012788389789	-5.53188425784038	5.59034333297268e-05	0.00496724755209623	1.96678822704169	12.7078464995947	13.1053730368885	12.6764197036794	11.2707337783775	10.4943385199624	11.1529614953708
ALDH1A1	-1.9980409977936	14.061295272265	-5.53138200326986	5.59562366333584e-05	0.00496724755209623	1.96584946212981	15.0851648614686	15.0352759654435	15.0605064865732	13.568325462507	12.3183264494466	13.300172408151
MALL	-1.92264745733141	10.1787798749258	-5.52966836357741	5.61367857390335e-05	0.00496724755209623	1.96264624219635	11.3410128526514	10.991867160944	11.0874307971792	9.70341058865426	8.6348786760546	9.31407917407153
DAPL1	2.55796093408707	9.66486994457818	5.51105430341731	5.81373531633286e-05	0.00512190081368925	1.92782675376545	8.99762841398012	7.10290672666322	9.05713329196061	11.0622412884908	10.4960027175899	11.2733072287845
PDZD3	-1.78124954148744	11.5477116250288	-5.50734893214237	5.85443414818392e-05	0.00513542853440046	1.92088998899808	12.4864559117808	12.4560061838028	12.3725470917339	10.9357312833118	10.2373389475121	10.7981903320313
BEND7	-1.81947019362195	6.20482591998246	-5.5012337525839	5.92224923684829e-05	0.00517252311578694	1.90943788169919	6.90611987228729	7.28678461817427	7.15077855991876	5.3869125714714	4.86057365550661	5.63778624253646
SMC2	-1.88414569470491	9.28192656839833	-5.49093556238716	6.03829977268253e-05	0.00523063858940833	1.8901409203384	10.5152762742764	9.61531934459792	10.541402628378	8.45996671286197	8.30044193187835	8.25915251839731
XLOC_l2_010751	1.76351110191076	6.76785511050072	5.49074970987607	6.04041568337141e-05	0.00523063858940833	1.88979253727174	5.9259979696173	5.71197670674621	6.02032400227251	7.49862432347452	8.01114869098028	7.43905896991352
XKR4	-2.37131358893301	9.76590153070044	-5.46957047068972	6.28664773619546e-05	0.00542069545015016	1.8500619230307	10.915656586849	11.1781790116636	10.7608393769882	9.32883692313589	7.41812268682121	8.9937745987447
ISL1	-1.9899864215262	13.0346615175487	-5.46346396133377	6.35955890961998e-05	0.00546032805871312	1.83859561763003	14.0372435653842	14.0682131495107	13.9835074700404	12.475166074078	11.2611857624411	12.3826530838376
SPAG4	-1.90881567630784	9.07179404572125	-5.45908218525168	6.41241680912846e-05	0.00546749715811612	1.83036485815394	9.50600798177101	10.6271396340406	9.94545803581387	8.16232779401919	7.9539411002281	8.2358897284547
HGD	1.98319497435807	9.99011206674637	5.45724355247556	6.43473193620656e-05	0.00546749715811612	1.82691040695046	9.10150935559527	8.77127426738829	9.12276011571846	10.6496863914161	11.7222989893162	10.5731432810438
ZNF541	-1.84059298953102	6.68312726833996	-5.45608317488811	6.44885663914401e-05	0.00546749715811612	1.82473004374424	7.83937741574548	7.5794901624653	7.39140371110563	6.15465302313439	5.2860913350775	5.84774796251145
KCNMB2	-2.17627595960245	8.985000987055	-5.43576994570539	6.7013945470838e-05	0.00565166940473141	1.78653269823959	10.2470475508304	9.55383908360977	10.4185302661285	8.46199962876126	7.04635007849329	8.1822393145068
GUCY1B2	1.77558210370655	5.73050399997238	5.43415796859408	6.72186905463292e-05	0.00565166940473141	1.78349919979867	4.54252918621149	5.20913544946266	4.77647420868316	6.38803065253141	6.63034343957511	6.83651106337044
PLP2	-2.17437162320454	8.23438873511905	-5.42689457601061	6.81493243500882e-05	0.00570623867481751	1.76982638561786	9.36640955977317	9.23564755546182	9.36266652492896	7.94071787721919	6.20577054593643	7.29512034739471
COL1A2	-1.79158985203149	6.62194546817616	-5.41830272124386	6.92674353628119e-05	0.00574647140106288	1.75364396978085	7.68812350915907	7.03595121986557	7.82914645355107	5.84917882539324	5.72387017389901	5.60540262718899
LOC728342	1.80838110293111	5.06050452128157	5.41707230272343	6.94291068012308e-05	0.00574647140106288	1.75132573997148	4.36700643080117	4.15345131773493	3.94848416091195	6.41876926146609	5.59834151818556	5.87697443858974
CDKN2A	1.8544487139396	10.6241721874173	5.41490373682609	6.97149992639979e-05	0.00574647140106288	1.74723946933531	9.77006027790199	9.78976226868998	9.53102094475039	11.8131268419887	10.9601145667269	11.8809482244456
MGC50722	-1.71065052749903	8.56279126580455	-5.41453147406565	6.97641990160129e-05	0.00574647140106288	1.74653794601501	9.32436314092681	9.58560955081606	9.34437689691933	7.82061132483338	7.88600063782119	7.41578604351054
AIF1	-1.6925006893116	10.4614175885407	-5.3988498068863	7.18697778388221e-05	0.00589594051962774	1.71696977100917	11.4332619538648	11.2858339341293	11.2039079115955	9.34436613309574	9.74245191598291	9.7586836825761
TCP10L2	2.09839480958116	6.7197479249479	5.3962747755992	7.22217727752515e-05	0.00590092653929404	1.71211144236803	5.51741262972101	5.78255059525442	5.71168833549652	8.39628317043632	6.85965534722461	8.05089747155452
PLA2G12B	1.69886395231714	7.78873273147205	5.38006386408174	7.44791383603462e-05	0.00606092682970158	1.68150655275725	7.11857839897012	7.01462697137214	6.68469689559817	8.4284382022878	8.72032326625179	8.76573265435226
CCK	-2.35255691771333	5.84124008464234	-5.37476890046642	7.52321982273413e-05	0.00609772013072247	1.67150275518836	7.62448255507203	5.79937010260582	7.62870297281918	4.78140938175681	4.54798580630832	4.6654896892919
HMGCS2	1.68791707939472	8.98444345714758	5.37158895467587	7.56882431968831e-05	0.00611024251752367	1.6654931377049	8.30641154489706	7.89795851401052	8.21708469344308	9.94170978153851	9.90623388494708	9.63726232404924
HOXA4	-1.78462824767063	9.79727782345432	-5.35901695396208	7.75194559925775e-05	0.00622386574232133	1.64172124869682	10.891201962718	10.3373186641088	10.8402552150421	9.26429433147386	8.5799916621675	8.87060510521565
NEK2	1.83383122618792	6.5487958506917	5.35772640093553	7.77100149438531e-05	0.00622386574232133	1.63927984791278	5.74100337165315	5.40039355151234	5.75424378962771	7.31967602007785	8.0145203693605	7.06293800191862
CECR5-AS1	-1.65538653550197	9.64364079531302	-5.3370022298069	8.08374220016824e-05	0.00644885307881925	1.60004580442509	10.3820265131588	10.4531979287987	10.5787777472345	8.83969833347065	8.61768348309739	8.99046076611806
KLF9	1.6581383040585	8.0375782171976	5.32822517197848	8.22009598913375e-05	0.0065319139226595	1.58341299163934	7.02180456260785	7.39907132711624	7.20465130578095	8.72411988269439	8.97660734280287	8.89921488218328
